2, 6, 42789
2, 5, 73106
1, 3, 26828
1, 6, 86356
1, 4, 82325
2, 5, 48116
2, 4, 17988
2, 6, 58931
1, 6, 15315
2, 6, 73844
1, 3, 21326
1, 4, 33165
2, 5, 72274
2, 5, 65527
2, 5, 42249
2, 6, 25722
2, 6, 96433
1, 3, 93663
1, 7, 61046
2, 3, 50041
1, 4, 49526
1, 6, 79890
1, 6, 46645
1, 6, 14032
1, 4, 93557
1, 5, 64567
1, 6, 46163
2, 4, 82380
2, 3, 36106
2, 5, 49440
2, 3, 98777
2, 5, 72069
2, 5, 31771
1, 6, 48420
1, 5, 59298
2, 6, 72703
2, 3, 55959
2, 7, 52921
1, 7, 42000
2, 3, 69951
1, 4, 34200
1, 5, 16274
2, 6, 95457
1, 6, 31432
1, 7, 56337
1, 6, 16326
2, 3, 88504
2, 6, 27021
1, 6, 47060
1, 3, 32078
2, 6, 51714
2, 3, 40293
2, 4, 48029
1, 3, 40282
1, 5, 91633
2, 6, 96886
1, 3, 38577
2, 5, 17157
2, 6, 24711
1, 6, 84857
1, 6, 79946
1, 3, 99524
2, 7, 20727
2, 5, 74851
2, 7, 13141
1, 6, 28259
1, 4, 93896
2, 7, 16414
2, 3, 48740
2, 5, 17771
1, 3, 42120
2, 4, 51643
1, 7, 37383
1, 5, 57143
2, 7, 24628
2, 3, 86378
2, 6, 12602
2, 3, 41467
2, 7, 49780
1, 3, 90985
2, 3, 26558
2, 6, 11375
2, 6, 90941
1, 5, 50960
2, 6, 61660
2, 6, 95694
1, 4, 48066
1, 4, 68019
2, 7, 96645
1, 5, 34302
2, 5, 73163
1, 3, 65053
1, 5, 51740
2, 6, 86974
2, 3, 70730
1, 5, 74290
1, 6, 70476
1, 7, 33408
1, 7, 80291
1, 3, 64508
2, 6, 24564
1, 5, 55015
1, 3, 15125
2, 7, 90699
1, 5, 96552
1, 6, 14693
1, 5, 92052
1, 7, 22444
1, 3, 87038
2, 7, 89538
2, 4, 93995
1, 7, 65890
1, 6, 62415
2, 7, 73989
2, 5, 19182
2, 5, 30207
2, 3, 81329
1, 3, 66971
1, 7, 63078
2, 5, 92095
1, 7, 41115
2, 3, 59071
2, 6, 25750
1, 4, 93787
2, 5, 90363
1, 6, 76574
1, 3, 48367
2, 6, 68738
1, 4, 79694
1, 6, 32617
2, 5, 95367
2, 4, 73802
1, 4, 42692
2, 7, 42574
2, 4, 64192
1, 3, 67314
2, 5, 38016
1, 4, 31976
2, 3, 22935
1, 3, 46810
1, 5, 61821
2, 5, 89939
2, 3, 57569
2, 5, 53834
2, 3, 56797
2, 4, 67198
2, 3, 25075
2, 5, 54011
1, 6, 97174
1, 3, 96542
1, 4, 72783
1, 7, 26803
2, 3, 42269
1, 7, 72279
2, 4, 23687
1, 3, 33153
2, 7, 62819
1, 3, 29593
2, 7, 41828
2, 3, 39558
2, 5, 68340
1, 3, 31637
2, 3, 30851
2, 6, 47807
2, 7, 85022
1, 5, 82415
1, 5, 31889
2, 7, 95594
2, 5, 80125
2, 6, 27266
1, 6, 28367
1, 4, 71006
2, 7, 98743
1, 7, 41172
2, 4, 70029
2, 5, 40385
1, 5, 72268
2, 5, 79606
2, 5, 90970
